x,y
0.00,13.45
1.00,14.60
2.00,15.75
3.00,16.90
4.00,18.05
5.00,19.20
6.00,20.35
7.00,21.50
8.00,22.65
9.00,23.80
10.00,24.95
11.00,26.10
12.00,27.25
13.00,28.40
14.00,29.55
15.00,30.70
16.00,31.85
17.00,33.00
18.00,34.15
19.00,35.30
20.00,36.45
21.00,37.60
22.00,38.75
23.00,39.90
24.00,41.05
25.00,42.20
26.00,43.35
27.00,44.50
28.00,45.65
29.00,46.80
30.00,47.95
31.00,49.10
32.00,50.25
33.00,51.40
34.00,52.55
35.00,53.70
36.00,54.85
37.00,56.00
38.00,57.15
39.00,58.30
40.00,59.45
41.00,60.60
42.00,61.75
43.00,62.90
44.00,64.05
45.00,65.20
46.00,66.35
47.00,67.50
48.00,68.65
49.00,69.80
50.00,70.95
51.00,72.10
52.00,73.25
53.00,74.40
54.00,75.55
55.00,76.70
56.00,77.85
57.00,79.00
58.00,80.15
59.00,81.30
60.00,82.45
61.00,83.60
62.00,84.75
63.00,85.90
64.00,87.05
65.00,88.20
66.00,89.35
67.00,90.50
68.00,91.65
69.00,92.80
70.00,93.95
71.00,95.10
72.00,96.25
73.00,97.40
74.00,98.55
75.00,99.70
76.00,100.85
77.00,102.00
78.00,103.15
79.00,104.30
80.00,105.45
81.00,106.60
82.00,107.75
83.00,108.90
84.00,110.05
85.00,111.20
86.00,112.35
87.00,113.50
88.00,114.65
89.00,115.80
90.00,116.95
91.00,118.10
92.00,119.25
93.00,120.40
94.00,121.55
95.00,122.70
96.00,123.85
97.00,125.00
98.00,126.15
99.00,127.30
