x,y
0.00,50.55
1.00,51.95
2.00,53.35
3.00,54.75
4.00,56.15
5.00,57.55
6.00,58.95
7.00,60.35
8.00,61.75
9.00,63.15
10.00,64.55
11.00,65.95
12.00,67.35
13.00,68.75
14.00,70.15
15.00,71.55
16.00,72.95
17.00,74.35
18.00,75.75
19.00,77.15
20.00,78.55
21.00,79.95
22.00,81.35
23.00,82.75
24.00,84.15
25.00,85.55
26.00,86.95
27.00,88.35
28.00,89.75
29.00,91.15
30.00,92.55
31.00,93.95
32.00,95.35
33.00,96.75
34.00,98.15
35.00,99.55
36.00,100.95
37.00,102.35
38.00,103.75
39.00,105.15
40.00,106.55
41.00,107.95
42.00,109.35
43.00,110.75
44.00,112.15
45.00,113.55
46.00,114.95
47.00,116.35
48.00,117.75
49.00,119.15
50.00,120.55
51.00,121.95
52.00,123.35
53.00,124.75
54.00,126.15
55.00,127.55
56.00,128.95
57.00,130.35
58.00,131.75
59.00,133.15
60.00,134.55
61.00,135.95
62.00,137.35
63.00,138.75
64.00,140.15
65.00,141.55
66.00,142.95
67.00,144.35
68.00,145.75
69.00,147.15
70.00,148.55
71.00,149.95
72.00,151.35
73.00,152.75
74.00,154.15
75.00,155.55
76.00,156.95
77.00,158.35
78.00,159.75
79.00,161.15
80.00,162.55
81.00,163.95
82.00,165.35
83.00,166.75
84.00,168.15
85.00,169.55
86.00,170.95
87.00,172.35
88.00,173.75
89.00,175.15
90.00,176.55
91.00,177.95
92.00,179.35
93.00,180.75
94.00,182.15
95.00,183.55
96.00,184.95
97.00,186.35
98.00,187.75
99.00,189.15
